officename,pincode
Kothimir PDC,504273
Papanpet PDC,504299
Kukuda PDC,504299
Bareguda PDC,504296
Mosam PDC,504296
Penchikalpet PDC,504296
Vempalli PDC,504209
Old Town PDC,504296
Kammergaon PDC,504296
Chakepalli PDC,504272
Repallewada PDC,504272
Ginnedhari PDC,504297
Malini PDC,504295
Yellapur PDC,506371
Madipalli PDC,506371
Yellapur PDC,505415
Mucherla PDC,505304
Pegadapalli PDC,505532
Kondaparthy PDC,506003
Abdulnagaram PDC,506145
Rajavaram PDC,506144
Chinnapendyal PDC,506144
China Raman Cherla PDC,506221
Tatikonda PDC,506301
Chinchinkota PDC,506223
Kadaverugu PDC,506223
Garmillapalli PDC,506143
Raghunathpalli PDC,506143
Tanedarpalli PDC,506143
Nemiligonda PDC,506143
Uppugal PDC,506143
Samudrala PDC,505467
Narmetta PDC,506175
Nellutla PDC,506175
Peddapahad PDC,506175
Rebarthy PDC,506367
Dhulmitta PDC,506367
Posanpalli PDC,506355
Tadur Bo PDC,506355
Pasaramadla PDC,506201
Nidigonda PDC,506244
Iravennur PDC,506244
Mangal Banda Thanda PDC,506244
Wanaparthy PDC,506303
Dammannapet PDC,506342
Nagaram PDC,505301
Kasimpalli PDC,506169
Laxmareddipalli PDC,506168
Garimillapalli PDC,506356
Kundanpalli PDC,506356
Nawabpet PDC,505467
Nawabpet PDC,506356
Pangidipalli PDC,506356
Sarvai PDC,506165
Thimmapur PDC,506345
Bhagirathipet PDC,506345
Machapur PDC,506344
Potlapur PDC,506352
Balannagudem PDC,506172
Jadalpet PDC,506170
Relakunta PDC,506350
Ramachandrapuram PDC,506221
Akinepalli PDC,506366
Peddakomati Palli PDC,506366
Pidicilla PDC,506366
Vemulapalli PDC,506366
Abbapur PDC,506343
Bandarupalli PDC,506343
Narlapur PDC,506391
Mustialpalli PDC,506391
Oorattam PDC,506347
Bittupalli PDC,506347
Narlapur PDC,502102
Kothapalli v PDC,506170
Ramannagudem PDC,506348
Repakpalli PDC,506348
Dammannapet PDC,506348
Ramannagudem PDC,506165
Sultanpur PDC,506348
Nizampalli PDC,506348
Gatlakaniparthy PDC,506319
Taharapur PDC,506319
Chinnakodepak PDC,506319
Pathipak PDC,506319
Pocharam PDC,506319
Ramtheertham PDC,506350
Donthapur PDC,505425
Kothapalli PDC,505304
Mallareddipet PDC,505304
Narmala PDC,505304
Rapalli PDC,505532
Vemulakurthi PDC,505450
Maddutla PDC,505452
Bandapalli PDC,505403
Kalvakota PDC,505453
Katlakunta PDC,505453
Mohanraopet PDC,505453
Chowlamaddi PDC,505325
Metlachittapur PDC,505325
Namapur PDC,505404
Mogalpet PDC,505331
Chittapur PDC,505331
Ratnapur PDC,502313
Sataram PDC,505331
Nakkalapet PDC,505454
Thumminala PDC,505454
Chelgal PDC,505455
Morapalli PDC,505455
Pembatla Konapur PDC,505529
Adivipadira PDC,505305
Almaspur PDC,505305
Koratlapet PDC,505305
Samudralingapur PDC,505305
Joganapalli PDC,505460
Kummarpalli PDC,505460
Mootapalli PDC,505460
Thimmapur PDC,505307
Mallial PDC,506102
Dharmaram PDC,505301
Kanagarthi PDC,505301
Katkur PDC,505301
Bonala PDC,505301
Venkatraopet B  O PDC,505301
BASWAPUR PDC,503305
Tangallapalli PDC,505405
