district,statename
Kumuram Bheem Asifabad,Telangana
Mancherial,Telangana
Hanumakonda,Telangana
Jagitial,Telangana
Rajanna Sircilla,Telangana
Jangoan,Telangana
Siddipet,Telangana
Warangal,Telangana
Jayashankar Bhupalapally,Telangana
Karimnagar,Telangana
Mulugu,Telangana
Medak,Telangana
Mahabubabad,Telangana
Kamareddy,Telangana
Peddapalli,Telangana
Sangareddy,Telangana
Wanaparthy,Telangana
Jogulamba Gadwal,Telangana
Mahabubnagar,Telangana
Narayanpet,Telangana
Vikarabad,Telangana
Yadadri Bhuvanagiri,Telangana
Nalgonda,Telangana
Nizamabad,Telangana
Suryapet,Telangana
Eluru,Andhra Pradesh
Anakapalli,Andhra Pradesh
Visakhapatanam,Andhra Pradesh
Alluri Sitharama Raju,Andhra Pradesh
Kakinada,Andhra Pradesh
East Godavari,Andhra Pradesh
Parvathipuram Manyam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Srikakulam,Andhra Pradesh
Konaseema,Andhra Pradesh
Dibrugarh,Assam
Lakhimpur,Assam
Dhemaji,Assam
West Karbi Anglong,Assam
Karbi Anglong,Assam
Hojai,Assam
Nagaon,Assam
Marigaon,Assam
Kamrup Metro,Assam
Bhadradri Kothagudem,Telangana
Khammam,Telangana
Krishna,Andhra Pradesh
Prakasam,Andhra Pradesh
Palnadu,Andhra Pradesh
Guntur,Andhra Pradesh
Spsr Nellore,Andhra Pradesh
Bapatla,Andhra Pradesh
Nan,Nan
West Godavari,Andhra Pradesh
Ntr,Andhra Pradesh
Gaya,Bihar
Jehanabad,Bihar
Arwal,Bihar
Jamui,Bihar
Sheikhpura,Bihar
Lakhisarai,Bihar
Munger,Bihar
Nalanda,Bihar
Patna,Bihar
Nawada,Bihar
Rohtas,Bihar
Kaimur (Bhabua),Bihar
Muzaffarpur,Bihar
Vaishali,Bihar
Samastipur,Bihar
Raipur,Chhattisgarh
Dantewada,Chhattisgarh
Bijapur,Chhattisgarh
Kondagaon,Chhattisgarh
Sukma,Chhattisgarh
Kurnool,Andhra Pradesh
Nandyal,Andhra Pradesh
Y.S.R.,Andhra Pradesh
Tirupati,Andhra Pradesh
Annamayya,Andhra Pradesh
Chittoor,Andhra Pradesh
Sonitpur,Assam
Begusarai,Bihar
Khagaria,Bihar
Darbhanga,Bihar
Madhubani,Bihar
Purbi Champaran,Bihar
Supaul,Bihar
Sheohar,Bihar
Sitamarhi,Bihar
Katihar,Bihar
Kishanganj,Bihar
Araria,Bihar
Purnia,Bihar
Saharsa,Bihar
Madhepura,Bihar
Saran,Bihar
Gopalganj,Bihar
Siwan,Bihar
Pashchim Champaran,Bihar
Aurangabad,Bihar
Banka,Bihar
Bhagalpur,Bihar
Bhojpur,Bihar
Buxar,Bihar
Ranga Reddy,Telangana
Nagarkurnool,Telangana
Hyderabad,Telangana
Medchal Malkajgiri,Telangana
Anantapur,Andhra Pradesh
Sri Sathya Sai,Andhra Pradesh
Golaghat,Assam
Jorhat,Assam
Majuli,Assam
Sivasagar,Assam
Charaideo,Assam
Tinsukia,Assam
Bongaigaon,Assam
